"Product_ID","product__Product_name","product__Category","product__Description","product__Manufacturer","product__Price","product__Stock_availability"
"1","Mighty Doodad","Food","Looking for a product that can...","Unilever","5354.04","51"
"2","Mighty Doodad","Toys","This product is perfect for those who want to...","Unilever","2439.68","232"
"3","Acme Widget","Home","Our product is designed to...","Apple","280.29","14"
"4","Super Gizmo","Beauty","Introducing the newest addition to our product line...","Samsung","9727.23","483"
"5","Ultimate Doohickey","Home","Looking for a product that can...","Apple","3006.57","499"
"6","Mighty Doodad","Home","This product is perfect for those who want to...","Kraft","2696.67","665"
"7","Hyper Gadget","Electronics","Introducing the newest addition to our product line...","Nike","3623.57","746"
"8","Acme Widget","Home","Our product is designed to...","Kraft","2276.62","989"
"9","Hyper Gadget","Clothing","Our product is the solution for...","Samsung","4029.63","869"
"10","Mighty Doodad","Clothing","Looking for a product that can...","Nestle","3353.39","691"
"11","Super Gizmo","Food","This product is perfect for those who want to...","Apple","9946.27","322"
"12","Turbo Gismo","Toys","This product is perfect for those who want to...","Kraft","7493.8","283"
"13","Hyper Gadget","Clothing","Our product is designed to...","Nike","1543.44","326"
"14","Epic Gizmo","Clothing","This product is perfect for those who want to...","Apple","3083.93","378"
"15","Mega Thingamajig","Electronics","This product is perfect for those who want to...","Apple","7310.92","438"
"16","Extreme Whatchamacallit","Toys","Introducing the newest addition to our product line...","Nestle","3569.59","452"
"17","Hyper Gadget","Toys","Our product is designed to...","Kraft","3261.81","349"
"18","Extreme Whatchamacallit","Food","Our product is the solution for...","Apple","218.82","43"
"19","Epic Gizmo","Home","Our product is the solution for...","P&G","4707.47","163"
"20","Powerful Grommet","Toys","Our product is the solution for...","P&G","2279.6","798"
"21","Turbo Gismo","Food","Looking for a product that can...","Unilever","6893.27","351"
"22","Mighty Doodad","Electronics","This product is perfect for those who want to...","Adidas","8817.38","265"
"23","Hyper Gadget","Home","This product is perfect for those who want to...","Sony","8304.51","512"
"24","Powerful Grommet","Books","Our product is designed to...","Sony","7662.78","777"
"25","Epic Gizmo","Sports","Our product is the solution for...","Nestle","5790.19","159"
"26","Ultimate Doohickey","Electronics","This product is perfect for those who want to...","Apple","1901.81","809"
"27","Mega Thingamajig","Books","This product is perfect for those who want to...","P&G","3446.6","37"
"28","Acme Widget","Books","Our product is designed to...","Unilever","7250.24","399"
"29","Turbo Gismo","Food","This product is perfect for those who want to...","P&G","3361.02","533"
"30","Mega Thingamajig","Books","Introducing the newest addition to our product line...","Kraft","3243.95","395"
"31","Ultimate Doohickey","Toys","Our product is the solution for...","Adidas","3630.25","343"
"32","Super Gizmo","Books","Introducing the newest addition to our product line...","P&G","1296.77","18"
"33","Ultimate Doohickey","Toys","Our product is the solution for...","Unilever","8305.02","572"
"34","Extreme Whatchamacallit","Sports","Our product is designed to...","Adidas","8091.47","725"
"35","Acme Widget","Beauty","This product is perfect for those who want to...","Nike","6717.24","148"
"36","Mega Thingamajig","Home","Introducing the newest addition to our product line...","Apple","2470.83","491"
"37","Mega Thingamajig","Toys","Our product is the solution for...","Nike","8029.96","548"
"38","Ultimate Doohickey","Sports","Our product is the solution for...","P&G","5003.67","133"
"39","Turbo Gismo","Food","Our product is the solution for...","Unilever","7492.4","927"
"40","Acme Widget","Home","Our product is designed to...","Nestle","1946.51","938"
"41","Ultimate Doohickey","Home","Our product is designed to...","Samsung","5752.81","550"
"42","Turbo Gismo","Clothing","Introducing the newest addition to our product line...","Apple","561.03","14"
